Title,URL,Image Source
Snapp - Yet Another Self-Hosted Url Shortener,https://noted.lol/snapp/,https://noted.lol/content/images/size/w600/2023/12/snapp-self-hosted-url-shortener-main-noted.lol.jpg
Self Hosting 101 - Oops we have to learn what we break!,https://noted.lol/self-hosting-101/,https://noted.lol/content/images/size/w600/2023/11/homelab-or-cloud-hosting-self-hosting-101-noted.lol.jpg
Dockge - A Docker Manager for Self-Hosting Enthusiasts,https://noted.lol/dockge/,https://noted.lol/content/images/size/w600/2023/11/self-hosted-dockge-noted.lol.jpg
Awwesome - An Enhanced user interface for Awesome Selfhosted,https://noted.lol/awwesome/,https://noted.lol/content/images/size/w600/2023/10/self-hosted-resources-featured-noted.lol.jpg
wg-easy - VPN Made Simple,https://noted.lol/wg-easy-vpn-made-simple/,https://noted.lol/content/images/size/w600/2023/03/self-hosted-wg-easy-wireguard-vpn-noted.lol.jpg
Continue - An Open-Source AI Software Development Assistant,https://noted.lol/continue/,https://noted.lol/content/images/size/w600/2023/10/continue-coding-chat-ai-assistant-featured-noted.lol.jpg
"Ollama - Self-Hosted AI Chat with Llama 2, Code Llama and More in Docker",https://noted.lol/ollama/,https://noted.lol/content/images/size/w600/2023/10/ollama-self-hosted-ai-chat-docker-noted.lol.jpg
Self-Hosted Blogging Made Easy with Ghost,https://noted.lol/ghost-cms/,https://noted.lol/content/images/size/w600/2023/10/ghost-self-hosted-featured-noted.lol.jpg
Faraday - Chat with AI Characters Offline,https://noted.lol/faraday/,https://noted.lol/content/images/size/w600/2023/10/faraday-ai-chatbot-featured-noted.lol.jpg
"Comentario - Self-Hosted, Modern Comment System",https://noted.lol/comentario/,https://noted.lol/content/images/size/w600/2023/10/comentario-self-hosted-comments-featured-noted.lol.png
How Unraid Helps Me Get the Most Out of Self-Hosting,https://noted.lol/unraid-a-self-hosting-story/,https://noted.lol/content/images/size/w600/2023/10/unraid-homelab-featured-noted.lol.jpg
"LlamaGPT - A Self-Hosted, Offline, ChatGPT",https://noted.lol/llamagpt/,https://noted.lol/content/images/size/w600/2023/10/llamagpt-self-hosted-featured-noted.lol.jpg
How to Convert any Website into a Zim File for Offline Viewing,https://noted.lol/convert-any-website-into-a-zim-file-zimit/,https://noted.lol/content/images/size/w600/2023/10/zimit-featured-noted.lol.jpg
You can Download Noted.lol Archives for Offline Reading,https://noted.lol/noted-archives/,https://noted.lol/content/images/size/w600/2023/10/noted.lol-archives-featured.jpg
MicroBin: Self-Hosted Pastebin for Simplifying Sharing,https://noted.lol/microbin/,https://noted.lol/content/images/size/w600/2023/10/microbin-self-hosted-main1-noted.lol.png
"Linkwarden - Collaborative Bookmark Manager to Collect, Organize and Archive Webpages",https://noted.lol/linkwarden/,https://noted.lol/content/images/size/w600/2023/10/linkwarden-self-hosted-featured-noted.lol.jpg
My Homelab: A Source of Confidence Building,https://noted.lol/my-homelab-a-source-of-confidence-building/,https://noted.lol/content/images/size/w600/2023/10/homelabing-featured-noted.lol.jpg
Introducing Wrestic: Rust-Based Restic Wrapper,https://noted.lol/wrestic/,https://noted.lol/content/images/size/w600/2023/10/wrestic-noted.lol.jpg
Uptime Kuma: Your Self-Hosted Uptime Monitoring Solution,https://noted.lol/self-host-uptime-kuma/,https://noted.lol/content/images/size/w600/2023/09/uptime-kuma-self-hosted-feature-noted.lol.jpg
